zip code,total population,white population,black population,median household income,latitude,longitude
63106,10624,584,9851,21250,38.6449,-90.2081
63133,7365,650,6544,23941,38.6788,-90.3043
63107,9252,783,8362,25052,38.6685,-90.2104
63120,8754,107,8470,25780,38.6894,-90.2667
63115,17710,120,17414,26599,38.679,-90.2385
63111,21389,9366,10588,27698,38.5635,-90.2479
63140,327,104,218,28594,38.739,-90.3254
63113,11610,374,11053,30817,38.6606,-90.2456
63147,9214,309,8582,31964,38.6999,-90.2198
63136,44382,3173,39462,32223,38.747,-90.2526
63138,18226,3265,14333,38056,38.7994,-90.2057
63121,23561,3261,19317,39174,38.7102,-90.3043
63112,17745,4077,12104,40161,38.6579,-90.2855
63118,27817,11474,14329,40203,38.5951,-90.2292
63103,8893,4283,3659,40427,38.6292,-90.2174
63134,13704,3753,9114,40872,38.7416,-90.3419
63137,20097,3364,16045,41320,38.7479,-90.2114
63114,35005,21469,9470,46346,38.7049,-90.3466
63135,22450,6380,14582,46590,38.7469,-90.2902
63108,20564,11502,6545,47180,38.6475,-90.2573
63116,43897,29767,8981,47871,38.5845,-90.2667
63143,9536,7374,1524,48241,38.6132,-90.3207
63102,2193,974,948,48654,38.624,-90.1846
63125,32826,28971,1712,52560,38.5162,-90.2902
63139,21874,17297,2450,57388,38.6159,-90.2949
63110,17313,11325,4392,58294,38.6212,-90.2526
63123,50783,45747,1476,58867,38.5581,-90.3278
63104,19565,9746,9050,60295,38.616,-90.2292
63132,13378,7005,4542,61108,38.6786,-90.3795
63109,26983,24383,1604,63231,38.5844,-90.2949
63130,28738,15064,10877,64300,38.6683,-90.3231
63101,3725,1427,1949,65129,38.6305,-90.1928
63146,30515,21526,4166,70692,38.6888,-90.4644
63117,9071,7278,899,77464,38.6289,-90.3301
63128,30023,28555,360,77682,38.4949,-90.3843
63129,52975,50165,1193,78312,38.453,-90.309
63126,14646,13793,176,80055,38.5527,-90.3795
63144,8712,7464,329,82097,38.6157,-90.3513
63119,34141,30290,2587,84995,38.5843,-90.3513
63127,5039,4731,82,98015,38.5315,-90.4172
63122,39165,35767,1939,102756,38.5788,-90.4219
63105,18574,14283,1206,106213,38.6447,-90.3301
63141,20411,16004,1489,107419,38.6625,-90.4785
63124,10775,9472,288,166750,38.6419,-90.3843
63131,17872,16063,305,171831,38.6207,-90.4408
63155,0,0,0,,38.6289,-90.2052
